,품종,성별,무게(Kg),상태,나이,성격,색,중성화유무,건강,칩등록여부,보유물건
1,믹스견,수컷,9.3,미입양,44,사람을 잘 따름,검정색계열,아니오,미상,미상,무
2,비숑 프리제,수컷,4.3,입양,68,사람을 잘 따름,흰색계열,예,우측 결막염,미상,무
3,비숑 프리제,수컷,6,입양,32,사람을 잘 따름,흰색계열,예,유치 잔존(견치),미상,무
4,푸들,수컷,4.5,입양,44,사람을 잘 따름,갈색계열,예,미상,미상,무
5,비숑 프리제,암컷,5.2,입양,67,사람을 잘 따름,흰색계열,미상,"좌측 피부염 심함, 항문탈장",미상,무
6,말티즈,수컷,2.6,입양,67,사람을 잘 따름,흰색계열,예,미상,미상,무
7,웰시 코기 카디건,수컷,6,입양,7,중립,혼합색계열,아니오,미상,미상,무
8,웰시 코기 카디건,암컷,6,입양,7,중립,혼합색계열,아니오,미상,미상,무
9,푸들,수컷,2.6,입양,7,사람을 잘 따름,갈색계열,아니오,미상,미상,무
10,믹스견,암컷,23,미입양,79,중립,갈색계열,미상,심장사상충 양성,미상,무
11,믹스견,암컷,0.1,미입양,7,중립,흰색계열,아니오,"구더기 많음, 수유 필요",미상,무
12,믹스견,암컷,0.1,미입양,7,중립,흰색계열,아니오,"구더기 많음, 수유 필요",미상,무
13,믹스견,수컷,0.1,미입양,7,중립,흰색계열,아니오,"구더기 많음, 수유 필요",미상,무
14,믹스견,암컷,0.1,미입양,7,중립,흰색계열,아니오,"구더기 많음, 수유 필요",미상,무
15,믹스견,암컷,0.1,미입양,7,중립,검정색계열,아니오,"구더기 많음, 수유 필요",미상,무
16,잉글리쉬 포인터,암컷,11.3,입양,7,사람을 잘 따름,혼합색계열,미상,미상,미상,무
17,포메라니안,암컷,2.5,입양,7,중립,흰색계열,아니오,미상,미상,무
18,믹스견,수컷,6,입양,7,중립,검정색계열,아니오,미상,미상,유
19,믹스견,수컷,4.4,미입양,7,사람을 잘 따름,갈색계열,아니오,미상,미상,무
20,믹스견,암컷,1.3,입양,7,사람을 잘 따름,흰색계열,아니오,미상,미상,무
21,믹스견,암컷,1.1,미입양,7,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
22,믹스견,암컷,2.4,입양,7,중립,흰색계열,아니오,미상,미상,무
23,치와와,수컷,4.1,입양,91,사람을 잘 따름,혼합색계열,예,비만과 탈모 있음,미상,무
24,이탈리안 그레이 하운드,수컷,5.5,입양,67,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
25,말티즈,수컷,2.2,미입양,138,사람을 잘 따름,흰색계열,아니오,"백내장, 치석 심하고 치주염 있음",미상,무
26,믹스견,암컷,3.2,미입양,6,사람을 잘 따름,갈색계열,아니오,미상,미상,무
27,믹스견,암컷,5.8,입양,66,사람을 잘 따름,갈색계열,미상,사상충양성,미상,유
28,푸들,암컷,3.8,입양,90,사람을 잘 따름,갈색계열,미상,미상,미상,유
